No,Kode Saham,Nama Perusahaan,Remarks,Sebelumnya,Open Price,Tanggal Perdagangan Terakhir,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
333,HOPE,Harapan Duta Pertiwi Tbk.,--U-2130000000C141------------,50,0,09 Jan 2023,0,50,50,50,0,897200,44860000,104,42.4,50,2261700,0,0,2130360201,2130360201,693858317,0,0,0,0,0
334,HOTL,Saraswati Griya Lestari Tbk.,--U-2100000000E512---L---Y---X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,27,0,0,0,0,3550001452,3550001452,707515289,0,0,0,0,0
335,HRME,Menteng Heritage Realty Tbk.,--U-2130000000E512------------,51,0,09 Jan 2023,0,51,50,51,0,456300,22894300,58,48.6,51,411200,50,5304100,5958750000,5958750000,870573375,0,0,0,0,0
336,HRTA,Hartadinata Abadi Tbk.,--M-1100000000E411------------,202,0,09 Jan 2023,0,204,202,202,0,4585800,927533200,174,67.3,204,1167300,202,1366500,4605262400,4605262400,1016381412,0,0,0,0,0
337,HRUM,Harum Energy Tbk.,XDMO1SKCMA3000A121------------,1520,1540,09 Jan 2023,1540,1585,1515,1575,55,36947300,57567918500,7972,151.1,1575,4600,1570,19400,13518100000,13518100000,2514366600,1141000,9322700,0,0,0
338,IATA,MNC Energy Investments Tbk.,--U-2105000000A121------------,130,0,09 Jan 2023,0,134,122,125,-5,45214400,5777751100,8131,96.2,125,1067200,124,780300,25238221508,25238221508,14080403779,8832400,12522100,0,0,0
339,IBFN,Intan Baru Prana Tbk.,--U-2100000000G211-E---------X,97,0,09 Jan 2023,0,0,0,97,0,0,0,0,6.9,0,0,0,0,1517332349,1517332349,286017148,0,0,0,0,0
340,IBOS,Indo Boga Sukses Tbk.,--U-3000000000D222------------,82,0,09 Jan 2023,0,82,78,78,-4,279900,22308900,80,78,78,74600,77,40700,8036818961,3525534667,0,0,0,0,0,0
341,IBST,Inti Bangun Sejahtera Tbk.,--U-1135000000J321------------,5950,0,09 Jan 2023,0,5950,5950,5950,0,200,1190000,2,639.9,6125,100,5750,100,1350904927,1350904927,156975153,0,0,0,0,0
342,ICBP,Indofood CBP Sukses Makmur Tbk.,--MO1SNAF0H000D222------------,10175,10150,09 Jan 2023,10150,10275,10150,10200,25,5830100,59468130000,1670,378.1,10200,7900,10175,133600,11661908000,11661908000,2332381600,288100,992200,513,5234088,9
343,ICON,Island Concepts Indonesia Tbk.,--U-2130000000C224------------,63,0,09 Jan 2023,0,63,60,60,-3,196100,11863900,55,115.2,61,70900,60,149900,1089750000,1089750000,328232700,0,0,0,0,0
344,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,56,0,09 Jan 2023,0,61,52,56,0,5981000,343209300,459,40,56,146800,55,103000,1062437500,1062437500,0,0,0,0,0,0
345,IDPR,Indonesia Pondasi Raya Tbk.,--U-1130000000J211------------,183,0,09 Jan 2023,0,183,175,179,-4,661300,118125200,159,14,180,14400,179,30400,2003000000,2003000000,261992400,0,0,0,0,0
346,IFII,Indonesia Fibreboard Industry Tbk.,--U-1135000000B151------------,158,0,09 Jan 2023,0,159,156,158,0,39900,6236200,36,150.5,159,52600,158,12300,9412000000,9412000000,1696042400,0,0,0,0,0
347,IFSH,Ifishdeco Tbk.,--U-2135000000B146------------,1205,0,09 Jan 2023,0,1505,1125,1125,-80,357100,459149500,564,255.7,1125,11900,0,0,2125000000,2125000000,425000000,200,0,0,0,0
348,IGAR,Champion Pacific Indonesia Tbk.,--U-1130000000B131------------,468,0,09 Jan 2023,0,472,466,468,0,85800,40275800,20,305.9,468,4000,466,200,972204500,972204500,143691825,0,0,0,0,0
349,IIKP,Inti Agri Resources Tbk,--U-2135000000E321-----------X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,96,0,0,0,0,33600000000,33600000000,24037440000,0,0,0,0,0
350,IKAI,Intikeramik Alamasri Industri Tbk.,--U-1130000000E512-----------X,50,0,09 Jan 2023,0,50,50,50,0,300,15000,1,14.3,50,34213200,0,0,13305799387,13305799387,10536862535,0,0,0,0,0
351,IKAN,Era Mandiri Cemerlang Tbk.,--U-2130000000D231------------,57,0,09 Jan 2023,0,60,56,57,0,3743800,218161000,264,47.5,58,161100,57,77300,833333000,833333000,333333200,0,0,0,0,0
352,IKBI,Sumi Indo Kabel Tbk.,--U-2130000000C131------------,214,0,09 Jan 2023,0,216,206,212,-2,4400,926400,12,19.2,212,1300,206,6900,1224000000,1224000000,130356000,1500,0,0,0,0
353,IMAS,Indomobil Sukses Internasional Tbk.,--M-1105000000E745------------,835,0,09 Jan 2023,0,870,840,855,20,1239900,1062582500,177,120.3,860,75000,855,74900,3994291039,3994291039,479314925,100,400,0,0,0
354,IMJS,Indomobil Multi Jasa Tbk.,--M-1105000000G211------------,284,0,09 Jan 2023,0,300,284,288,4,1337900,388596200,109,57.6,290,14100,286,309500,8654325000,8654325000,694942298,0,0,0,0,0
355,IMPC,Impack Pratama Industri Tbk.,--U-2135006000C121------------,3450,0,09 Jan 2023,0,3480,3440,3450,0,1319600,4577839000,274,907.9,3460,36400,3450,24100,4933500000,4933500000,548111850,14900,0,0,0,0
356,INAF,Indofarma Tbk.,--U-1135000000F211------------,850,0,09 Jan 2023,0,850,805,830,-20,102700,85142000,96,332,835,2000,830,2100,3099267500,3099267500,173249053,0,0,0,0,0
357,INAI,Indal Aluminium Industry Tbk.,--U-2130000000B141------------,250,0,09 Jan 2023,0,252,250,250,0,2600,652000,8,91.3,264,300,248,600,633600000,633600000,126593280,0,0,0,0,0
358,INCF,Indo Komoditi Korpora Tbk.,--U-2100000000B153------------,52,0,09 Jan 2023,0,54,52,53,1,4766500,250308400,394,43.1,53,848700,52,437400,1438370465,1438370465,623677434,41100,0,0,0,0
359,INCI,Intanwijaya Internasional Tbk,--U-1130000000B111------------,670,0,09 Jan 2023,0,660,655,660,-10,15500,10229500,8,71.4,660,114800,655,2000,196121237,196121237,93196812,0,0,0,0,0
360,INCO,Vale Indonesia Tbk.,--MO1XDAF0G000B146------------,7350,7400,09 Jan 2023,7400,7500,7275,7425,75,9662500,71768515000,4194,3030.6,7425,106900,7400,11700,9936338720,9936338720,2023038563,2681900,3820100,150356,1124639725,10
361,INDF,Indofood Sukses Makmur Tbk.,--MO1XNAQ1H000D222------------,6950,6950,09 Jan 2023,6950,7000,6800,6950,0,6663000,46089607500,2888,1189.7,6950,80900,6900,5100,8780426500,8780426500,4352457416,3570600,2640200,2003628,13775450050,17
362,INDO,Royalindo Investa Wijaya Tbk.,--M-2100000000H112------------,87,0,09 Jan 2023,0,89,86,87,0,1551000,135345400,179,79.1,88,39300,87,435400,4382841253,4382841253,630252572,0,0,0,0,0
363,INDR,Indo-Rama Synthetics Tbk.,--U-1135000000E413------------,5200,0,09 Jan 2023,0,5275,5100,5125,-75,92300,474750000,144,690.2,5125,9000,5100,17600,654351707,654351707,50057906,8800,1100,0,0,0
364,INDS,Indospring Tbk.,--U-1135000000E111------------,1900,0,09 Jan 2023,0,1930,1870,1920,20,4400,8318000,20,180,1920,100,1875,100,656249710,656249710,69824969,0,0,0,0,0
365,INDX,Tanah Laut Tbk,--U-2130000000C232------------,220,0,09 Jan 2023,0,242,216,224,4,9894700,2282303800,2112,17.9,226,30000,224,150100,437913588,437913588,77861036,54000,1479700,0,0,0
366,INDY,Indika Energy Tbk.,--MO1H05960000A121------------,2440,2460,09 Jan 2023,2460,2490,2380,2440,0,13645900,33173555000,3011,82.7,2450,7400,2440,205000,5210192000,5210192000,1757397762,5235900,3030700,166,405220,2
